species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
1677,466307,7,1.2100000000000002,4,61,8,183,11404.578802777778,0,-0.2100000000000002,-0.2459016393442623,32.3399148907104
1677,466310,7,1.44,4,61,8,183,11404.578802777778,0,-0.43999999999999995,-0.2459016393442623,32.3399148907104
135,466301,7,2.25,2,61,1,183,11404.578802777778,0,-0.25,-0.2459016393442623,32.3399148907104
1539,139968,1,4.0,4,55,4,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
1539,139968,2,4.0,4,54,6,239,17327.256111111114,0,3.0,-0.5370370370370371,-22.93919238683133
1539,139968,3,7.290000000000001,4,52,6,210,16088.539722222222,0,-0.2900000000000009,-0.25,-3.3830288461538376
1539,139968,4,7.839999999999999,4,49,6,197,15912.622222222222,0,-0.839999999999999,-0.42857142857142855,21.180385487528355
1539,139968,5,7.839999999999999,4,44,6,176,16950.46111111111,-1,-0.839999999999999,-0.11363636363636363,21.251736111111065
1539,139968,6,7.290000000000001,4,47,5,171,17885.5375,-5,-7.290000000000001,0.2553191489361702,-137.89273823877065
1539,139991,1,25.0,4,55,4,227,16311.395625,2,0.0,0.21818181818181817,18.470190656565716
1539,139991,2,25.0,4,54,6,239,17327.256111111114,0,3.0,-0.5370370370370371,-22.93919238683133
1539,139991,3,28.09,4,52,6,210,16088.539722222222,0,0.9100000000000001,-0.25,-3.3830288461538376
1539,139991,4,29.160000000000004,4,49,6,197,15912.622222222222,0,-0.1600000000000037,-0.42857142857142855,21.180385487528355
1539,139991,5,29.160000000000004,4,44,6,176,16950.46111111111,-1,-1.1600000000000037,-0.11363636363636363,21.251736111111065
1539,139991,6,28.09,4,47,5,171,17885.5375,-3,-0.08999999999999986,0.2553191489361702,-137.89273823877065
1539,139991,7,28.09,4,61,2,183,11404.578802777778,1,-0.08999999999999986,-0.2459016393442623,32.3399148907104
1539,140054,1,2.25,4,55,4,227,16311.395625,2,1.75,0.21818181818181817,18.470190656565716
1539,140054,2,4.0,4,54,6,239,17327.256111111114,0,1.0,-0.5370370370370371,-22.93919238683133
1539,140054,3,5.76,4,52,6,210,16088.539722222222,0,-0.7599999999999998,-0.25,-3.3830288461538376
1539,140054,4,5.76,4,49,6,197,15912.622222222222,0,0.2400000000000002,-0.42857142857142855,21.180385487528355
1539,140054,5,6.25,4,44,6,176,16950.46111111111,-1,-1.25,-0.11363636363636363,21.251736111111065
1539,140054,6,5.76,4,47,5,171,17885.5375,-3,0.2400000000000002,0.2553191489361702,-137.89273823877065
1539,140054,7,6.760000000000001,4,61,2,183,11404.578802777778,1,-0.7600000000000007,-0.2459016393442623,32.3399148907104
1539,140104,1,2.25,4,55,4,227,16311.395625,2,-1.25,0.21818181818181817,18.470190656565716
1539,140104,2,1.5625,4,54,6,239,17327.256111111114,0,1.4375,-0.5370370370370371,-22.93919238683133
1539,140104,3,3.0625,4,52,6,210,16088.539722222222,0,-0.0625,-0.25,-3.3830288461538376
1539,140104,4,3.4225000000000003,4,49,6,197,15912.622222222222,0,-0.4225000000000003,-0.42857142857142855,21.180385487528355
1539,140104,5,3.8024999999999998,4,44,6,176,16950.46111111111,-1,-1.8024999999999998,-0.11363636363636363,21.251736111111065
1539,140104,6,2.5600000000000005,4,47,5,171,17885.5375,-5,-2.5600000000000005,0.2553191489361702,-137.89273823877065
